order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct
OI0000045,O000030,P0069,2,69.26,55.28,0.1
OI0000046,O000030,P0074,1,87.06,60.48,0.1
OI0000047,O000031,P0012,1,111.95,84.41,0.15
OI0000048,O000032,P0057,3,79.16,58.0,0.1
OI0000049,O000033,P0009,1,108.05,74.24,0.0
OI0000050,O000034,P0005,1,36.05,26.57,0.05
OI0000051,O000035,P0007,3,154.82,152.42,0.25
OI0000052,O000036,P0003,1,105.66,63.03,0.2
OI0000053,O000037,P0050,2,37.48,25.09,0.15
OI0000054,O000038,P0031,1,92.74,75.58,0.15
OI0000055,O000039,P0024,1,16.24,8.09,0.0
OI0000056,O000039,P0078,2,100.33,62.62,0.05
OI0000057,O000039,P0037,1,74.92,40.01,0.0
OI0000058,O000040,P0062,2,55.57,38.11,0.05
OI0000059,O000040,P0007,1,185.79,152.42,0.1
OI0000060,O000040,P0076,1,93.15,69.15,0.05
OI0000061,O000041,P0021,2,134.39,102.9,0.05
OI0000062,O000041,P0008,1,160.07,130.06,0.15
OI0000063,O000042,P0027,2,74.57,55.24,0.1
OI0000064,O000042,P0055,1,22.13,12.54,0.05
OI0000065,O000043,P0061,1,83.05,55.47,0.0
OI0000066,O000044,P0031,1,98.19,75.58,0.1
OI0000067,O000045,P0024,3,15.43,8.09,0.05
OI0000068,O000046,P0068,1,166.92,110.79,0.05
OI0000069,O000047,P0079,2,34.53,24.3,0.1
OI0000070,O000047,P0075,1,123.35,76.63,0.0
OI0000071,O000047,P0069,4,69.26,55.28,0.1
OI0000072,O000048,P0076,1,88.25,69.15,0.1
OI0000073,O000049,P0038,3,22.29,12.04,0.1
OI0000074,O000050,P0051,1,39.65,29.11,0.0
OI0000075,O000051,P0039,1,28.15,25.98,0.25
OI0000076,O000052,P0003,1,125.48,63.03,0.05
OI0000077,O000052,P0041,1,114.43,78.99,0.0
OI0000078,O000053,P0057,1,79.16,58.0,0.1
OI0000079,O000053,P0045,1,107.14,81.3,0.1
OI0000080,O000054,P0023,2,96.98,91.19,0.25
OI0000081,O000055,P0072,2,96.78,62.1,0.05
OI0000082,O000055,P0007,3,206.43,152.42,0.0
OI0000083,O000055,P0049,1,43.05,25.17,0.05
OI0000084,O000056,P0037,1,59.94,40.01,0.2
OI0000085,O000057,P0064,1,56.38,32.56,0.15
OI0000086,O000057,P0038,4,22.29,12.04,0.1
OI0000087,O000058,P0022,2,140.21,109.16,0.05
OI0000088,O000058,P0021,2,141.46,102.9,0.0
OI0000089,O000059,P0068,2,166.91,110.79,0.05
OI0000090,O000059,P0039,1,35.65,25.98,0.05
OI0000091,O000059,P0015,1,81.07,42.62,0.05
OI0000092,O000059,P0044,2,52.09,31.55,0.05
OI0000093,O000060,P0044,2,54.83,31.55,0.0
OI0000094,O000061,P0045,1,107.14,81.3,0.1
OI0000095,O000062,P0041,2,97.27,78.99,0.15
OI0000096,O000062,P0061,1,70.59,55.47,0.15
OI0000097,O000062,P0047,1,93.96,81.25,0.15
OI0000098,O000063,P0027,2,82.86,55.24,0.0
OI0000099,O000063,P0054,1,79.41,48.25,0.1
OI0000100,O000064,P0064,1,66.33,32.56,0.0
OI0000101,O000065,P0060,2,73.22,44.27,0.05
OI0000102,O000065,P0046,1,39.44,26.25,0.1
OI0000103,O000066,P0059,1,40.75,25.49,0.05
OI0000104,O000066,P0010,1,50.8,30.66,0.1
OI0000105,O000067,P0023,1,129.3,91.19,0.0
OI0000106,O000067,P0044,1,54.83,31.55,0.0
OI0000107,O000068,P0029,1,147.34,78.17,0.0
OI0000108,O000069,P0051,1,37.67,29.11,0.05
OI0000109,O000070,P0013,4,81.12,43.55,0.0
OI0000110,O000070,P0048,1,80.24,58.89,0.0
OI0000111,O000070,P0001,1,83.43,51.81,0.2
OI0000112,O000071,P0040,1,24.53,14.74,0.0
OI0000113,O000072,P0004,1,130.14,106.23,0.1
OI0000114,O000072,P0025,3,100.03,71.68,0.1
OI0000115,O000073,P0026,2,79.51,62.24,0.05
OI0000116,O000073,P0053,3,18.43,13.07,0.05
OI0000117,O000074,P0032,1,99.77,46.41,0.0
OI0000118,O000075,P0022,1,147.59,109.16,0.0
OI0000119,O000075,P0025,3,100.03,71.68,0.1
OI0000120,O000075,P0030,1,98.06,81.4,0.1
OI0000121,O000075,P0001,1,104.29,51.81,0.0
OI0000122,O000076,P0037,3,63.68,40.01,0.15
OI0000123,O000076,P0023,1,109.91,91.19,0.15
OI0000124,O000077,P0001,4,93.86,51.81,0.1
OI0000125,O000077,P0032,2,99.77,46.41,0.0
OI0000126,O000078,P0067,1,40.49,20.06,0.0
OI0000127,O000079,P0022,1,132.83,109.16,0.1
OI0000128,O000080,P0062,2,58.49,38.11,0.0
OI0000129,O000081,P0010,1,42.33,30.66,0.25
OI0000130,O000081,P0067,1,30.37,20.06,0.25
OI0000131,O000082,P0070,1,36.1,25.41,0.2
OI0000132,O000083,P0077,2,79.48,61.98,0.05
OI0000133,O000084,P0042,1,85.61,82.37,0.25
OI0000134,O000084,P0045,2,101.19,81.3,0.15
OI0000135,O000085,P0075,1,104.85,76.63,0.15
OI0000136,O000085,P0038,1,21.05,12.04,0.15
OI0000137,O000086,P0040,1,20.85,14.74,0.15
OI0000138,O000086,P0051,1,33.7,29.11,0.15
OI0000139,O000086,P0048,2,64.19,58.89,0.2
OI0000140,O000087,P0074,1,82.22,60.48,0.15
OI0000141,O000087,P0043,1,69.56,46.28,0.15
OI0000142,O000088,P0023,1,109.91,91.19,0.15
OI0000143,O000089,P0050,1,35.27,25.09,0.2
OI0000144,O000090,P0045,2,95.24,81.3,0.2
OI0000145,O000090,P0038,3,19.82,12.04,0.2
OI0000146,O000091,P0056,3,64.98,51.66,0.2
OI0000147,O000091,P0015,1,68.27,42.62,0.2
OI0000148,O000092,P0040,1,24.53,14.74,0.0
OI0000149,O000093,P0076,1,83.34,69.15,0.15
OI0000150,O000094,P0052,1,56.45,36.46,0.15
OI0000151,O000094,P0029,2,132.61,78.17,0.1
OI0000152,O000094,P0014,1,80.72,64.13,0.1
OI0000153,O000095,P0042,2,114.15,82.37,0.0
OI0000154,O000096,P0015,1,59.74,42.62,0.3
OI0000155,O000096,P0012,2,98.78,84.41,0.25
OI0000156,O000097,P0010,3,47.97,30.66,0.15
OI0000157,O000098,P0033,1,23.59,12.65,0.0
OI0000158,O000098,P0038,1,24.77,12.04,0.0
OI0000159,O000098,P0026,1,83.69,62.24,0.0
OI0000160,O000099,P0044,2,49.35,31.55,0.1
OI0000161,O000099,P0069,2,69.26,55.28,0.1
OI0000162,O000099,P0075,1,111.02,76.63,0.1
OI0000163,O000100,P0051,1,29.74,29.11,0.25
OI0000164,O000101,P0057,2,83.55,58.0,0.05
OI0000165,O000101,P0030,1,103.51,81.4,0.05
OI0000166,O000102,P0004,1,130.14,106.23,0.1
OI0000167,O000102,P0070,1,42.86,25.41,0.05
OI0000168,O000103,P0003,2,132.08,63.03,0.0
OI0000169,O000103,P0007,2,206.43,152.42,0.0
OI0000170,O000103,P0002,2,155.41,116.2,0.0
OI0000171,O000104,P0004,1,137.37,106.23,0.05
OI0000172,O000104,P0016,1,84.84,48.46,0.0
OI0000173,O000105,P0027,4,82.86,55.24,0.0
OI0000174,O000105,P0008,2,188.32,130.06,0.0
OI0000175,O000105,P0017,4,111.16,82.59,0.0
OI0000176,O000106,P0012,1,111.95,84.41,0.15
OI0000177,O000107,P0038,1,24.77,12.04,0.0
OI0000178,O000108,P0027,1,66.29,55.24,0.2
OI0000179,O000109,P0035,1,85.45,66.64,0.05
OI0000180,O000110,P0046,1,35.06,26.25,0.2
OI0000181,O000110,P0002,4,124.33,116.2,0.2
OI0000182,O000111,P0022,1,140.21,109.16,0.05
OI0000183,O000112,P0069,2,69.26,55.28,0.1
OI0000184,O000112,P0018,2,96.21,67.11,0.1
OI0000185,O000113,P0077,1,71.11,61.98,0.15
OI0000186,O000114,P0072,1,101.87,62.1,0.0
OI0000187,O000114,P0028,4,149.26,100.65,0.0
OI0000188,O000114,P0006,1,157.57,116.74,0.0
OI0000189,O000114,P0035,1,85.45,66.64,0.05
OI0000190,O000115,P0049,2,40.79,25.17,0.1
OI0000191,O000116,P0073,1,71.53,36.73,0.0
OI0000192,O000117,P0001,2,93.86,51.81,0.1
OI0000193,O000118,P0031,2,103.64,75.58,0.05
OI0000194,O000119,P0069,3,76.96,55.28,0.0
OI0000195,O000119,P0031,2,109.1,75.58,0.0
OI0000196,O000119,P0028,2,141.8,100.65,0.05
OI0000197,O000120,P0017,1,111.16,82.59,0.0
OI0000198,O000121,P0025,1,111.14,71.68,0.0
OI0000199,O000121,P0057,2,79.16,58.0,0.1
OI0000200,O000121,P0028,1,134.33,100.65,0.1
OI0000201,O000122,P0015,1,72.54,42.62,0.15
OI0000202,O000122,P0039,2,31.9,25.98,0.15
OI0000203,O000123,P0026,2,79.51,62.24,0.05
OI0000204,O000123,P0003,3,118.87,63.03,0.1
OI0000205,O000124,P0052,1,66.41,36.46,0.0
OI0000206,O000125,P0039,1,33.78,25.98,0.1
OI0000207,O000125,P0003,1,118.87,63.03,0.1
OI0000208,O000125,P0029,3,125.24,78.17,0.15
OI0000209,O000126,P0074,1,96.73,60.48,0.0
OI0000210,O000126,P0003,2,125.48,63.03,0.05
OI0000211,O000126,P0010,1,53.62,30.66,0.05
OI0000212,O000127,P0057,1,65.96,58.0,0.25
OI0000213,O000127,P0036,3,20.89,19.51,0.25
OI0000214,O000128,P0065,3,96.83,62.97,0.1
OI0000215,O000128,P0034,1,32.71,16.84,0.0
OI0000216,O000129,P0072,2,91.68,62.1,0.1
OI0000217,O000129,P0077,1,83.66,61.98,0.0
OI0000218,O000129,P0036,1,27.85,19.51,0.0
OI0000219,O000130,P0068,1,158.13,110.79,0.1
OI0000220,O000131,P0057,1,87.95,58.0,0.0
OI0000221,O000132,P0077,1,71.11,61.98,0.15
OI0000222,O000133,P0064,1,59.7,32.56,0.1
OI0000223,O000133,P0030,2,98.06,81.4,0.1
OI0000224,O000134,P0011,2,81.53,57.2,0.05
OI0000225,O000134,P0013,2,77.06,43.55,0.05
OI0000226,O000134,P0034,1,31.07,16.84,0.05
OI0000227,O000135,P0074,1,87.06,60.48,0.1
OI0000228,O000136,P0027,1,82.86,55.24,0.0
OI0000229,O000137,P0066,1,61.32,36.04,0.0
OI0000230,O000137,P0053,1,19.4,13.07,0.0
OI0000231,O000137,P0005,1,37.95,26.57,0.0
OI0000232,O000138,P0073,2,60.8,36.73,0.15
OI0000233,O000138,P0048,1,76.23,58.89,0.05
OI0000234,O000139,P0019,1,85.31,70.31,0.15
OI0000235,O000140,P0029,1,125.24,78.17,0.15
OI0000236,O000141,P0049,1,43.05,25.17,0.05
OI0000237,O000141,P0071,1,92.64,61.97,0.05
OI0000238,O000141,P0007,1,196.11,152.42,0.05
OI0000239,O000141,P0040,2,22.08,14.74,0.1
OI0000240,O000142,P0043,1,81.83,46.28,0.0
OI0000241,O000143,P0019,1,75.27,70.31,0.25
OI0000242,O000143,P0052,2,49.81,36.46,0.25
OI0000243,O000144,P0021,2,134.39,102.9,0.05
OI0000244,O000144,P0052,1,66.41,36.46,0.0
OI0000245,O000144,P0066,1,58.25,36.04,0.05
OI0000246,O000144,P0017,2,111.16,82.59,0.0
OI0000247,O000145,P0014,1,80.72,64.13,0.1
OI0000248,O000146,P0006,1,141.81,116.74,0.1
OI0000249,O000146,P0017,1,100.04,82.59,0.1
OI0000250,O000146,P0074,4,87.06,60.48,0.1
OI0000251,O000147,P0018,2,101.56,67.11,0.05
OI0000252,O000147,P0055,1,22.13,12.54,0.05
OI0000253,O000148,P0025,1,94.47,71.68,0.15
OI0000254,O000149,P0045,1,113.1,81.3,0.05
OI0000255,O000149,P0073,1,64.38,36.73,0.1
OI0000256,O000150,P0080,1,78.78,56.96,0.15
OI0000257,O000151,P0034,1,31.07,16.84,0.05
OI0000258,O000152,P0024,1,14.62,8.09,0.1
OI0000259,O000153,P0035,1,80.96,66.64,0.1
OI0000260,O000153,P0045,4,107.14,81.3,0.1
OI0000261,O000154,P0047,2,110.54,81.25,0.0
OI0000262,O000154,P0050,1,39.68,25.09,0.1
OI0000263,O000154,P0016,1,76.36,48.46,0.1
OI0000264,O000155,P0078,1,105.61,62.62,0.0
OI0000265,O000156,P0067,1,40.49,20.06,0.0
OI0000266,O000157,P0006,1,149.69,116.74,0.05
OI0000267,O000157,P0009,1,108.05,74.24,0.0
OI0000268,O000158,P0035,1,80.96,66.64,0.1
OI0000269,O000159,P0031,1,109.1,75.58,0.0
OI0000270,O000159,P0032,2,89.79,46.41,0.1
OI0000271,O000159,P0034,1,32.71,16.84,0.0
OI0000272,O000160,P0052,1,56.45,36.46,0.15
OI0000273,O000161,P0077,1,83.66,61.98,0.0
OI0000274,O000161,P0051,3,39.65,29.11,0.0
OI0000275,O000162,P0045,1,101.19,81.3,0.15
OI0000276,O000163,P0057,1,83.55,58.0,0.05
OI0000277,O000163,P0025,1,94.47,71.68,0.15
OI0000278,O000163,P0062,3,58.49,38.11,0.0
OI0000279,O000164,P0033,2,23.59,12.65,0.0
OI0000280,O000164,P0010,1,47.97,30.66,0.15
OI0000281,O000165,P0040,1,23.3,14.74,0.05
OI0000282,O000166,P0066,3,55.19,36.04,0.1
OI0000283,O000167,P0029,1,132.61,78.17,0.1
OI0000284,O000167,P0044,1,54.83,31.55,0.0
OI0000285,O000168,P0024,2,12.18,8.09,0.25
OI0000286,O000168,P0041,1,85.82,78.99,0.25
OI0000287,O000168,P0032,1,74.83,46.41,0.25
OI0000288,O000169,P0038,2,24.77,12.04,0.0
OI0000289,O000170,P0062,1,55.57,38.11,0.05
OI0000290,O000170,P0018,1,101.56,67.11,0.05
OI0000291,O000170,P0039,1,37.53,25.98,0.0
OI0000292,O000171,P0057,1,87.95,58.0,0.0
OI0000293,O000172,P0007,1,175.47,152.42,0.15
OI0000294,O000172,P0002,3,132.1,116.2,0.15
OI0000295,O000173,P0020,1,56.05,32.72,0.05
OI0000296,O000174,P0002,1,108.79,116.2,0.3
OI0000297,O000175,P0006,1,157.57,116.74,0.0
OI0000298,O000176,P0053,2,19.4,13.07,0.0
OI0000299,O000176,P0069,1,65.42,55.28,0.15
OI0000300,O000177,P0061,1,83.05,55.47,0.0
OI0000301,O000178,P0053,1,17.46,13.07,0.1
OI0000302,O000179,P0031,2,92.73,75.58,0.15
OI0000303,O000179,P0060,1,65.51,44.27,0.15
OI0000304,O000180,P0033,2,22.41,12.65,0.05
OI0000305,O000181,P0041,3,102.99,78.99,0.1
OI0000306,O000182,P0059,2,42.9,25.49,0.0
OI0000307,O000183,P0049,1,45.32,25.17,0.0
OI0000308,O000183,P0048,1,80.24,58.89,0.0
OI0000309,O000183,P0017,1,111.16,82.59,0.0
OI0000310,O000184,P0047,1,110.54,81.25,0.0
OI0000311,O000184,P0018,1,96.21,67.11,0.1
OI0000312,O000185,P0037,1,59.94,40.01,0.2
OI0000313,O000186,P0061,1,83.05,55.47,0.0
OI0000314,O000186,P0029,1,125.24,78.17,0.15
OI0000315,O000186,P0050,2,44.09,25.09,0.0
OI0000316,O000187,P0077,1,79.48,61.98,0.05
OI0000317,O000188,P0064,1,66.33,32.56,0.0
OI0000318,O000188,P0008,1,160.07,130.06,0.15
OI0000319,O000189,P0070,2,45.12,25.41,0.0
OI0000320,O000190,P0051,1,35.68,29.11,0.1
OI0000321,O000191,P0021,1,127.31,102.9,0.1
OI0000322,O000191,P0038,1,22.29,12.04,0.1
OI0000323,O000192,P0018,2,96.21,67.11,0.1
OI0000324,O000192,P0077,1,75.29,61.98,0.1
OI0000325,O000192,P0060,1,73.22,44.27,0.05
OI0000326,O000193,P0034,1,27.8,16.84,0.15
OI0000327,O000193,P0062,1,49.72,38.11,0.15
OI0000328,O000194,P0051,4,29.74,29.11,0.25
OI0000329,O000195,P0039,2,33.78,25.98,0.1
OI0000330,O000195,P0048,1,68.2,58.89,0.15
OI0000331,O000196,P0053,2,18.43,13.07,0.05
OI0000332,O000197,P0048,1,80.24,58.89,0.0
OI0000333,O000198,P0069,1,61.57,55.28,0.2
OI0000334,O000198,P0054,1,70.58,48.25,0.2
OI0000335,O000198,P0033,1,18.87,12.65,0.2
OI0000336,O000198,P0050,1,35.27,25.09,0.2
OI0000337,O000199,P0072,1,86.59,62.1,0.15
OI0000338,O000199,P0071,1,92.64,61.97,0.05
OI0000339,O000200,P0060,3,57.8,44.27,0.25
OI0000340,O000200,P0047,1,82.91,81.25,0.25
OI0000341,O000200,P0013,1,60.84,43.55,0.25
OI0000342,O000201,P0059,1,34.32,25.49,0.2
OI0000343,O000201,P0030,1,87.17,81.4,0.2
OI0000344,O000202,P0023,1,96.98,91.19,0.25
OI0000345,O000203,P0007,2,175.47,152.42,0.15
OI0000346,O000204,P0075,1,123.35,76.63,0.0
OI0000347,O000204,P0066,2,61.32,36.04,0.0
OI0000348,O000204,P0064,1,59.7,32.56,0.1
OI0000349,O000205,P0068,1,158.13,110.79,0.1
OI0000350,O000205,P0055,1,20.97,12.54,0.1
OI0000351,O000205,P0014,1,80.72,64.13,0.1
OI0000352,O000205,P0067,1,36.44,20.06,0.1
OI0000353,O000206,P0007,1,185.79,152.42,0.1
OI0000354,O000206,P0073,1,64.38,36.73,0.1
OI0000355,O000207,P0076,1,98.05,69.15,0.0
OI0000356,O000207,P0046,1,39.44,26.25,0.1
OI0000357,O000207,P0063,1,34.62,25.63,0.0
OI0000358,O000208,P0037,2,74.92,40.01,0.0
OI0000359,O000208,P0030,1,108.96,81.4,0.0
OI0000360,O000208,P0014,1,85.21,64.13,0.05
OI0000361,O000209,P0058,1,16.1,9.26,0.0
OI0000362,O000209,P0076,2,98.05,69.15,0.0
OI0000363,O000210,P0033,1,21.23,12.65,0.1
OI0000364,O000210,P0026,2,75.32,62.24,0.1
OI0000365,O000211,P0067,1,38.47,20.06,0.05
OI0000366,O000212,P0044,1,46.61,31.55,0.15
OI0000367,O000213,P0057,4,83.55,58.0,0.05
OI0000368,O000214,P0047,1,93.96,81.25,0.15
OI0000369,O000215,P0056,4,64.98,51.66,0.2
OI0000370,O000216,P0034,1,31.07,16.84,0.05
OI0000371,O000217,P0006,1,133.93,116.74,0.15
OI0000372,O000217,P0035,1,80.95,66.64,0.1
OI0000373,O000217,P0044,1,49.35,31.55,0.1
OI0000374,O000217,P0016,1,76.36,48.46,0.1
OI0000375,O000218,P0064,1,56.38,32.56,0.15
OI0000376,O000219,P0050,1,35.27,25.09,0.2
OI0000377,O000219,P0011,1,68.66,57.2,0.2
OI0000378,O000220,P0029,2,132.61,78.17,0.1
OI0000379,O000221,P0004,2,137.37,106.23,0.05
OI0000380,O000221,P0040,1,24.53,14.74,0.0
OI0000381,O000221,P0030,1,103.51,81.4,0.05
OI0000382,O000222,P0076,2,98.05,69.15,0.0
OI0000383,O000223,P0022,2,132.83,109.16,0.1
OI0000384,O000223,P0051,4,35.69,29.11,0.1
OI0000385,O000224,P0014,3,76.24,64.13,0.15
OI0000386,O000224,P0060,2,57.8,44.27,0.25
OI0000387,O000225,P0008,1,141.24,130.06,0.25
OI0000388,O000225,P0044,2,41.12,31.55,0.25
OI0000389,O000225,P0013,2,60.84,43.55,0.25
OI0000390,O000225,P0077,1,62.74,61.98,0.25
OI0000391,O000226,P0068,1,175.7,110.79,0.0
OI0000392,O000227,P0028,1,149.26,100.65,0.0
OI0000393,O000227,P0044,1,54.83,31.55,0.0
OI0000394,O000228,P0006,1,141.81,116.74,0.1
OI0000395,O000229,P0074,1,91.89,60.48,0.05
OI0000396,O000230,P0010,1,50.8,30.66,0.1
OI0000397,O000230,P0062,1,52.64,38.11,0.1
OI0000398,O000230,P0077,2,75.29,61.98,0.1
OI0000399,O000231,P0008,2,169.49,130.06,0.1
OI0000400,O000232,P0021,1,141.46,102.9,0.0
OI0000401,O000232,P0050,1,44.09,25.09,0.0
OI0000402,O000232,P0030,1,103.51,81.4,0.05
OI0000403,O000233,P0039,3,37.53,25.98,0.0
OI0000404,O000233,P0062,1,58.49,38.11,0.0
OI0000405,O000234,P0070,3,45.12,25.41,0.0
OI0000406,O000235,P0078,1,89.77,62.62,0.15
OI0000407,O000235,P0023,2,109.91,91.19,0.15
OI0000408,O000236,P0049,1,40.79,25.17,0.1
OI0000409,O000237,P0028,1,149.26,100.65,0.0
OI0000410,O000237,P0047,1,88.43,81.25,0.2
OI0000411,O000237,P0037,1,74.92,40.01,0.0
OI0000412,O000237,P0052,1,66.41,36.46,0.0
OI0000413,O000238,P0047,2,99.49,81.25,0.1
OI0000414,O000238,P0003,1,132.08,63.03,0.0
OI0000415,O000239,P0004,1,144.6,106.23,0.0
OI0000416,O000240,P0032,1,94.78,46.41,0.05
OI0000417,O000240,P0028,1,141.8,100.65,0.05
OI0000418,O000241,P0025,1,94.47,71.68,0.15
OI0000419,O000241,P0065,1,102.21,62.97,0.05
OI0000420,O000242,P0058,1,14.49,9.26,0.1
OI0000421,O000242,P0038,1,22.29,12.04,0.1
OI0000422,O000243,P0041,3,85.82,78.99,0.25
OI0000423,O000243,P0059,1,32.17,25.49,0.25
OI0000424,O000244,P0035,3,89.95,66.64,0.0
OI0000425,O000244,P0072,3,101.87,62.1,0.0
OI0000426,O000244,P0074,1,96.73,60.48,0.0
OI0000427,O000245,P0050,3,44.09,25.09,0.0
OI0000428,O000246,P0039,1,28.15,25.98,0.25
OI0000429,O000247,P0036,1,27.85,19.51,0.0
OI0000430,O000247,P0061,4,78.9,55.47,0.05
OI0000431,O000247,P0068,2,175.7,110.79,0.0
OI0000432,O000247,P0076,2,98.05,69.15,0.0
OI0000433,O000248,P0058,1,13.69,9.26,0.15
OI0000434,O000249,P0038,1,24.77,12.04,0.0
OI0000435,O000249,P0022,1,132.83,109.16,0.1
OI0000436,O000249,P0029,1,147.34,78.17,0.0
OI0000437,O000249,P0002,1,147.64,116.2,0.05
OI0000438,O000250,P0030,4,92.62,81.4,0.15
OI0000439,O000250,P0054,3,75.0,48.25,0.15
OI0000440,O000251,P0051,1,39.65,29.11,0.0
OI0000441,O000252,P0047,2,110.54,81.25,0.0
OI0000442,O000253,P0042,1,114.15,82.37,0.0
OI0000443,O000254,P0058,1,13.68,9.26,0.15
OI0000444,O000255,P0056,1,81.22,51.66,0.0
OI0000445,O000255,P0073,3,64.38,36.73,0.1
OI0000446,O000256,P0025,2,100.03,71.68,0.1
OI0000447,O000256,P0051,3,35.69,29.11,0.1
OI0000448,O000257,P0014,2,76.24,64.13,0.15
OI0000449,O000258,P0023,1,122.84,91.19,0.05
OI0000450,O000258,P0006,1,141.81,116.74,0.1
OI0000451,O000258,P0041,3,97.27,78.99,0.15
OI0000452,O000258,P0038,1,24.77,12.04,0.0
OI0000453,O000259,P0076,1,83.34,69.15,0.15
OI0000454,O000260,P0003,4,112.27,63.03,0.15
OI0000455,O000261,P0038,1,24.77,12.04,0.0
OI0000456,O000262,P0036,2,23.67,19.51,0.15
OI0000457,O000262,P0033,1,23.59,12.65,0.0
OI0000458,O000263,P0041,1,85.82,78.99,0.25
OI0000459,O000264,P0037,2,74.92,40.01,0.0
OI0000460,O000265,P0074,1,96.73,60.48,0.0
OI0000461,O000266,P0021,1,120.24,102.9,0.15
OI0000462,O000266,P0039,2,30.02,25.98,0.2
OI0000463,O000267,P0013,1,81.12,43.55,0.0
OI0000464,O000267,P0072,2,86.59,62.1,0.15
OI0000465,O000268,P0015,1,72.54,42.62,0.15
OI0000466,O000269,P0015,1,85.34,42.62,0.0
OI0000467,O000269,P0038,1,24.77,12.04,0.0
OI0000468,O000270,P0028,2,126.87,100.65,0.15
OI0000469,O000270,P0057,2,74.76,58.0,0.15
OI0000470,O000271,P0044,2,54.83,31.55,0.0
OI0000471,O000271,P0071,1,82.89,61.97,0.15
OI0000472,O000272,P0029,1,139.97,78.17,0.05
OI0000473,O000273,P0069,1,65.42,55.28,0.15
OI0000474,O000274,P0014,2,67.27,64.13,0.25
OI0000475,O000275,P0019,1,95.34,70.31,0.05
OI0000476,O000275,P0060,3,73.22,44.27,0.05
OI0000477,O000276,P0046,1,35.06,26.25,0.2
OI0000478,O000276,P0008,2,150.66,130.06,0.2
OI0000479,O000277,P0023,1,109.91,91.19,0.15
OI0000480,O000278,P0046,2,43.82,26.25,0.0
OI0000481,O000279,P0016,1,84.84,48.46,0.0
OI0000482,O000279,P0054,1,88.23,48.25,0.0
OI0000483,O000279,P0039,2,37.53,25.98,0.0
OI0000484,O000279,P0013,1,81.12,43.55,0.0
OI0000485,O000280,P0017,1,100.04,82.59,0.1
OI0000486,O000281,P0041,1,114.43,78.99,0.0
OI0000487,O000281,P0035,2,80.96,66.64,0.1
OI0000488,O000282,P0021,2,120.24,102.9,0.15
OI0000489,O000283,P0057,1,87.95,58.0,0.0
OI0000490,O000284,P0004,1,130.14,106.23,0.1
OI0000491,O000285,P0077,1,83.66,61.98,0.0
OI0000492,O000286,P0035,1,85.45,66.64,0.05
OI0000493,O000287,P0022,2,147.59,109.16,0.0
OI0000494,O000287,P0045,1,119.05,81.3,0.0
OI0000495,O000287,P0017,1,105.6,82.59,0.05
OI0000496,O000288,P0001,1,83.43,51.81,0.2
OI0000497,O000288,P0021,1,113.17,102.9,0.2
