inventory_month,store_id,product_id,beginning_inventory,restock_qty,ending_inventory,stockout_days,reorder_level
2024-01-01,S001,P0055,97,72,87.0,0.0,21
2024-01-01,S001,P0056,19,21,30.0,0.0,6
2024-01-01,S001,P0057,68,68,,0.0,18
2024-01-01,S001,P0058,24,11,14.0,0.0,8
2024-01-01,S001,P0059,26,9,20.0,0.0,6
2024-01-01,S001,P0060,107,28,69.0,0.0,23
2024-01-01,S001,P0061,40,49,51.0,0.0,14
2024-01-01,S001,P0062,82,29,29.0,0.0,23
2024-01-01,S001,P0063,55,51,75.0,0.0,16
2024-01-01,S001,P0064,55,15,44.0,0.0,14
2024-01-01,S001,P0065,18,13,19.0,0.0,6
2024-01-01,S001,P0066,22,11,13.0,0.0,6
2024-01-01,S001,P0067,72,62,65.0,0.0,17
2024-01-01,S001,P0068,51,39,34.0,0.0,16
2024-01-01,S001,P0069,55,25,61.0,0.0,12
2024-01-01,S001,P0070,75,43,76.0,0.0,18
2024-01-01,S001,P0071,21,12,12.0,0.0,5
2024-01-01,S001,P0072,66,32,45.0,0.0,18
2024-01-01,S001,P0073,34,24,20.0,0.0,9
2024-01-01,S001,P0074,64,43,83.0,0.0,14
2024-01-01,S001,P0075,55,32,69.0,0.0,12
2024-01-01,S001,P0076,21,18,19.0,0.0,6
2024-01-01,S001,P0077,38,48,35.0,0.0,14
2024-01-01,S001,P0078,36,26,48.0,0.0,8
2024-01-01,S001,P0079,21,14,11.0,0.0,6
2024-01-01,S001,P0080,83,59,95.0,0.0,19
2024-01-01,S002,P0001,21,8,16.0,0.0,6
2024-01-01,S002,P0002,20,16,19.0,0.0,7
2024-01-01,S002,P0003,57,22,52.0,0.0,11
2024-01-01,S002,P0004,25,10,22.0,0.0,5
2024-01-01,S002,P0005,43,35,25.0,0.0,16
2024-01-01,S002,P0006,17,18,14.0,0.0,5
2024-01-01,S002,P0007,83,16,23.0,0.0,18
2024-01-01,S002,P0008,101,81,148.0,0.0,22
2024-01-01,S002,P0009,34,17,28.0,0.0,11
2024-01-01,S002,P0010,24,13,27.0,0.0,5
2024-01-01,S002,P0011,64,44,69.0,0.0,17
2024-01-01,S002,P0012,51,40,63.0,0.0,12
2024-01-01,S002,P0013,57,37,27.0,0.0,20
2024-01-01,S002,P0014,30,15,23.0,0.0,6
2024-01-01,S002,P0015,56,35,49.0,0.0,11
2024-01-01,S002,P0016,52,28,54.0,0.0,12
2024-01-01,S002,P0017,88,24,66.0,0.0,19
2024-01-01,S002,P0018,77,32,30.0,0.0,21
2024-01-01,S002,P0019,30,36,45.0,0.0,10
2024-01-01,S002,P0020,63,26,55.0,0.0,12
2024-01-01,S002,P0021,51,23,46.0,0.0,15
2024-01-01,S002,P0022,23,13,15.0,0.0,6
2024-01-01,S002,P0023,77,39,29.0,0.0,20
2024-01-01,S002,P0024,55,47,27.0,0.0,21
2024-01-01,S002,P0025,50,15,35.0,0.0,15
2024-01-01,S002,P0026,48,17,20.0,0.0,11
2024-01-01,S002,P0027,77,73,72.0,0.0,21
2024-01-01,S002,P0028,90,62,98.0,0.0,18
2024-01-01,S002,P0029,48,40,52.0,0.0,11
2024-01-01,S002,P0030,55,42,69.0,0.0,17
2024-01-01,S002,P0031,93,15,25.0,0.0,19
2024-01-01,S002,P0032,60,59,87.0,0.0,17
2024-01-01,S002,P0033,74,31,0.0,3.0,26
2024-01-01,S002,P0034,25,13,11.0,0.0,7
2024-01-01,S002,P0035,43,21,33.0,0.0,13
2024-01-01,S002,P0036,79,64,69.0,0.0,22
2024-01-01,S002,P0037,31,30,39.0,0.0,9
2024-01-01,S002,P0038,96,99,116.0,0.0,34
2024-01-01,S002,P0039,70,50,67.0,0.0,15
2024-01-01,S002,P0040,64,19,15.0,0.0,19
2024-01-01,S002,P0041,41,40,47.0,0.0,12
2024-01-01,S002,P0042,57,35,65.0,0.0,16
2024-01-01,S002,P0043,113,47,102.0,0.0,32
2024-01-01,S002,P0044,45,31,63.0,0.0,9
2024-01-01,S002,P0045,34,30,40.0,0.0,8
2024-01-01,S002,P0046,59,15,36.0,0.0,16
2024-01-01,S002,P0047,117,87,77.0,0.0,31
2024-01-01,S002,P0048,45,23,36.0,0.0,9
2024-01-01,S002,P0049,25,17,20.0,0.0,5
2024-01-01,S002,P0050,59,29,47.0,0.0,18
2024-01-01,S002,P0051,71,35,60.0,0.0,15
2024-01-01,S002,P0052,65,37,66.0,0.0,13
2024-01-01,S002,P0053,30,22,40.0,0.0,6
2024-01-01,S002,P0054,96,58,97.0,0.0,22
2024-01-01,S002,P0055,48,13,47.0,0.0,10
2024-01-01,S002,P0056,28,27,18.0,0.0,11
2024-01-01,S002,P0057,31,24,,0.0,6
2024-01-01,S002,P0058,32,15,27.0,0.0,7
2024-01-01,S002,P0059,71,65,73.0,0.0,19
2024-01-01,S002,P0060,34,10,15.0,0.0,12
2024-01-01,S002,P0061,62,34,64.0,0.0,20
2024-01-01,S002,P0062,15,5,12.0,0.0,5
2024-01-01,S002,P0063,61,35,31.0,0.0,18
2024-01-01,S002,P0064,107,34,65.0,0.0,23
2024-01-01,S002,P0065,30,41,44.0,0.0,11
2024-01-01,S002,P0066,27,7,25.0,0.0,6
2024-01-01,S002,P0067,66,23,21.0,0.0,18
2024-01-01,S002,P0068,26,33,25.0,0.0,8
2024-01-01,S002,P0069,20,13,18.0,0.0,4
2024-01-01,S002,P0070,57,40,59.0,0.0,20
2024-01-01,S002,P0071,59,14,30.0,0.0,13
2024-01-01,S002,P0072,33,27,37.0,0.0,10
2024-01-01,S002,P0073,65,18,48.0,0.0,15
2024-01-01,S002,P0074,23,10,25.0,0.0,5
2024-01-01,S002,P0075,65,20,49.0,0.0,14
2024-01-01,S002,P0076,44,40,62.0,0.0,10
2024-01-01,S002,P0077,31,21,35.0,0.0,9
2024-01-01,S002,P0078,81,72,57.0,0.0,23
2024-01-01,S002,P0079,27,20,28.0,0.0,7
2024-01-01,S002,P0080,63,23,58.0,0.0,14
2024-01-01,S003,P0001,58,49,43.0,0.0,19
2024-01-01,S003,P0002,32,22,23.0,0.0,7
2024-01-01,S003,P0003,65,39,55.0,0.0,17
2024-01-01,S003,P0004,52,23,17.0,0.0,13
2024-01-01,S003,P0005,15,6,7.0,0.0,6
2024-01-01,S003,P0006,54,25,57.0,0.0,11
2024-01-01,S003,P0007,35,27,17.0,0.0,10
2024-01-01,S003,P0008,55,44,57.0,0.0,13
2024-01-01,S003,P0009,37,18,28.0,0.0,11
2024-01-01,S003,P0010,38,28,32.0,0.0,8
2024-01-01,S003,P0011,51,15,27.0,0.0,11
2024-01-01,S003,P0012,76,59,58.0,0.0,21
2024-01-01,S003,P0013,69,37,47.0,0.0,14
2024-01-01,S003,P0014,68,48,52.0,0.0,15
2024-01-01,S003,P0015,68,32,56.0,0.0,16
2024-01-01,S003,P0016,88,58,72.0,0.0,18
2024-01-01,S003,P0017,53,27,26.0,0.0,13
2024-01-01,S003,P0018,47,13,20.0,0.0,11
2024-01-01,S003,P0019,33,19,8.0,0.0,10
2024-01-01,S003,P0020,66,40,83.0,0.0,13
2024-01-01,S003,P0021,95,34,73.0,0.0,25
2024-01-01,S003,P0022,99,72,71.0,0.0,25
2024-01-01,S003,P0023,103,43,63.0,0.0,21
2024-01-01,S003,P0024,81,46,66.0,0.0,18
2024-01-01,S003,P0025,87,44,62.0,0.0,26
2024-01-01,S003,P0026,82,14,40.0,0.0,17
2024-01-01,S003,P0027,39,11,22.0,0.0,8
2024-01-01,S003,P0028,52,25,0.0,2.0,19
2024-01-01,S003,P0029,58,39,73.0,0.0,14
2024-01-01,S003,P0030,84,56,83.0,0.0,20
2024-01-01,S003,P0031,121,28,44.0,0.0,25
2024-01-01,S003,P0032,46,16,35.0,0.0,12
2024-01-01,S003,P0033,45,29,58.0,0.0,10
2024-01-01,S003,P0034,68,11,35.0,0.0,13
2024-01-01,S003,P0035,102,44,69.0,0.0,24
2024-01-01,S003,P0036,74,31,62.0,0.0,21
2024-01-01,S003,P0037,124,96,162.0,0.0,31
2024-01-01,S003,P0038,85,75,100.0,0.0,28
2024-01-01,S003,P0039,38,22,30.0,0.0,10
2024-01-01,S003,P0040,69,55,13.0,1.0,25
2024-01-01,S003,P0041,79,78,75.0,0.0,29
2024-01-01,S003,P0042,102,63,78.0,0.0,30
2024-01-01,S003,P0043,81,46,80.0,0.0,19
2024-01-01,S003,P0044,142,84,142.0,0.0,29
2024-01-01,S003,P0045,67,27,53.0,0.0,20
2024-01-01,S003,P0046,153,32,54.0,0.0,34
2024-01-01,S003,P0047,127,41,118.0,0.0,28
2024-01-01,S003,P0048,78,102,101.0,0.0,27
2024-01-01,S003,P0049,88,56,102.0,0.0,18
2024-01-01,S003,P0050,23,15,11.0,0.0,7
2024-01-01,S003,P0051,73,65,71.0,0.0,20
2024-01-01,S003,P0052,55,42,75.0,0.0,12
2024-01-01,S003,P0053,83,76,82.0,0.0,23
2024-01-01,S003,P0054,48,14,18.0,0.0,13
2024-01-01,S003,P0055,69,38,57.0,0.0,17
2024-01-01,S003,P0056,113,70,133.0,0.0,24
2024-01-01,S003,P0057,73,79,95.0,0.0,23
2024-01-01,S003,P0058,53,22,44.0,0.0,14
2024-01-01,S003,P0059,57,60,62.0,0.0,19
2024-01-01,S003,P0060,67,60,52.0,0.0,19
2024-01-01,S003,P0061,20,10,15.0,0.0,7
2024-01-01,S003,P0062,20,13,23.0,0.0,5
2024-01-01,S003,P0063,32,11,21.0,0.0,11
2024-01-01,S003,P0064,50,51,76.0,0.0,14
2024-01-01,S003,P0065,63,57,57.0,0.0,15
2024-01-01,S003,P0066,53,38,19.0,0.0,19
2024-01-01,S003,P0067,30,25,28.0,0.0,7
2024-01-01,S003,P0068,76,19,65.0,0.0,20
2024-01-01,S003,P0069,47,14,39.0,0.0,9
2024-01-01,S003,P0070,44,54,57.0,0.0,16
2024-01-01,S003,P0071,75,17,67.0,0.0,16
2024-01-01,S003,P0072,60,16,33.0,0.0,12
2024-01-01,S003,P0073,66,69,103.0,0.0,21
2024-01-01,S003,P0074,78,23,44.0,0.0,16
2024-01-01,S003,P0075,33,37,32.0,0.0,10
2024-01-01,S003,P0076,19,7,15.0,0.0,4
2024-01-01,S003,P0077,51,25,51.0,0.0,11
2024-01-01,S003,P0078,72,55,98.0,0.0,14
2024-01-01,S003,P0079,71,26,44.0,0.0,15
2024-01-01,S003,P0080,66,81,89.0,0.0,23
2024-01-01,S004,P0001,32,10,12.0,0.0,7
2024-01-01,S004,P0002,20,5,16.0,0.0,5
2024-01-01,S004,P0003,69,28,51.0,0.0,21
2024-01-01,S004,P0004,31,41,41.0,0.0,11
2024-01-01,S004,P0005,43,30,40.0,0.0,9
2024-01-01,S004,P0006,26,19,24.0,0.0,6
2024-01-01,S004,P0007,26,25,33.0,0.0,9
2024-01-01,S004,P0008,62,57,51.0,0.0,16
2024-01-01,S004,P0009,83,53,73.0,0.0,17
2024-01-01,S004,P0010,34,25,35.0,0.0,11
2024-01-01,S004,P0011,64,20,19.0,0.0,20
2024-01-01,S004,P0012,41,12,35.0,0.0,10
2024-01-01,S004,P0013,103,76,126.0,0.0,22
2024-01-01,S004,P0014,35,27,39.0,0.0,8
2024-01-01,S004,P0015,114,44,71.0,0.0,25
2024-01-01,S004,P0016,65,42,43.0,0.0,19
2024-01-01,S004,P0017,102,22,55.0,0.0,21
2024-01-01,S004,P0018,38,36,27.0,0.0,11
2024-01-01,S004,P0019,99,44,109.0,0.0,23
2024-01-01,S004,P0020,42,38,26.0,0.0,14
2024-01-01,S004,P0021,91,37,50.0,0.0,20
2024-01-01,S004,P0022,94,44,45.0,0.0,26
2024-01-01,S004,P0023,38,28,39.0,0.0,9
2024-01-01,S004,P0024,92,43,73.0,0.0,19
2024-01-01,S004,P0025,56,67,85.0,0.0,20
2024-01-01,S004,P0026,100,48,53.0,0.0,24
2024-01-01,S004,P0027,58,73,71.0,0.0,20
2024-01-01,S004,P0028,92,60,73.0,0.0,25
2024-01-01,S004,P0029,88,48,57.0,0.0,24
2024-01-01,S004,P0030,101,78,123.0,0.0,25
2024-01-01,S004,P0031,33,23,32.0,0.0,12
2024-01-01,S004,P0032,51,29,41.0,0.0,15
2024-01-01,S004,P0033,27,12,15.0,0.0,8
2024-01-01,S004,P0034,75,45,81.0,0.0,17
2024-01-01,S004,P0035,90,79,119.0,0.0,34
2024-01-01,S004,P0036,76,36,13.0,2.0,25
2024-01-01,S004,P0037,129,33,51.0,0.0,33
2024-01-01,S004,P0038,67,71,31.0,0.0,24
2024-01-01,S004,P0039,94,51,105.0,0.0,19
2024-01-01,S004,P0040,131,64,146.0,0.0,29
2024-01-01,S004,P0041,87,79,109.0,0.0,28
2024-01-01,S004,P0042,92,87,113.0,0.0,24
2024-01-01,S004,P0043,31,42,35.0,0.0,11
2024-01-01,S004,P0044,117,68,97.0,0.0,24
2024-01-01,S004,P0045,120,81,152.0,0.0,25
2024-01-01,S004,P0046,58,75,79.0,0.0,20
2024-01-01,S004,P0047,85,43,70.0,0.0,25
2024-01-01,S004,P0048,141,104,199.0,0.0,33
2024-01-01,S004,P0049,74,60,65.0,0.0,22
2024-01-01,S004,P0050,65,53,68.0,0.0,23
2024-01-01,S004,P0051,107,76,120.0,0.0,24
2024-01-01,S004,P0052,49,44,31.0,0.0,14
2024-01-01,S004,P0053,69,29,62.0,0.0,24
2024-01-01,S004,P0054,76,65,99.0,0.0,17
2024-01-01,S004,P0055,70,16,37.0,0.0,18
2024-01-01,S004,P0056,82,69,66.0,0.0,22
2024-01-01,S004,P0057,64,65,70.0,0.0,19
2024-01-01,S004,P0058,56,32,46.0,0.0,18
2024-01-01,S004,P0059,28,21,12.0,0.0,8
2024-01-01,S004,P0060,72,24,51.0,0.0,15
2024-01-01,S004,P0061,21,13,14.0,0.0,6
2024-01-01,S004,P0062,88,37,76.0,0.0,22
2024-01-01,S004,P0063,46,37,26.0,0.0,14
2024-01-01,S004,P0064,41,35,57.0,0.0,10
2024-01-01,S004,P0065,30,13,19.0,0.0,7
2024-01-01,S004,P0066,60,37,66.0,0.0,14
2024-01-01,S004,P0067,35,39,39.0,0.0,11
2024-01-01,S004,P0068,26,10,16.0,0.0,9
2024-01-01,S004,P0069,100,17,76.0,0.0,21
2024-01-01,S004,P0070,26,17,25.0,0.0,5
2024-01-01,S004,P0071,34,12,7.0,1.0,12
2024-01-01,S004,P0072,13,15,12.0,0.0,4
2024-01-01,S004,P0073,20,17,25.0,0.0,5
2024-01-01,S004,P0074,19,8,10.0,0.0,5
2024-01-01,S004,P0075,71,38,70.0,0.0,22
2024-01-01,S004,P0076,74,45,82.0,0.0,16
2024-01-01,S004,P0077,66,27,25.0,0.0,22
2024-01-01,S004,P0078,22,22,34.0,0.0,6
2024-01-01,S004,P0079,44,27,15.0,0.0,14
2024-01-01,S004,P0080,64,25,68.0,0.0,13
2024-01-01,S005,P0001,46,17,28.0,0.0,9
2024-01-01,S005,P0002,17,14,16.0,0.0,5
2024-01-01,S005,P0003,65,28,67.0,0.0,14
2024-01-01,S005,P0004,27,26,27.0,0.0,9
2024-01-01,S005,P0005,39,28,45.0,0.0,12
2024-01-01,S005,P0006,47,20,32.0,0.0,16
2024-01-01,S005,P0007,28,25,40.0,0.0,7
2024-01-01,S005,P0008,54,35,35.0,0.0,15
2024-01-01,S005,P0009,58,40,17.0,0.0,20
2024-01-01,S005,P0010,73,21,48.0,0.0,21
2024-01-01,S005,P0011,48,17,41.0,0.0,13
2024-01-01,S005,P0012,22,13,10.0,0.0,6
2024-01-01,S005,P0013,61,15,29.0,0.0,19
2024-01-01,S005,P0014,50,11,29.0,0.0,11
2024-01-01,S005,P0015,79,13,42.0,0.0,17
2024-01-01,S005,P0016,84,41,37.0,0.0,21
2024-01-01,S005,P0017,38,36,59.0,0.0,10
2024-01-01,S005,P0018,128,61,115.0,0.0,26
2024-01-01,S005,P0019,30,6,19.0,0.0,7
2024-01-01,S005,P0020,32,26,28.0,0.0,10
2024-01-01,S005,P0021,55,33,66.0,0.0,13
2024-01-01,S005,P0022,78,59,77.0,0.0,16
2024-01-01,S005,P0023,53,41,48.0,0.0,15
2024-01-01,S005,P0024,98,25,38.0,0.0,20
2024-01-01,S005,P0025,58,30,39.0,0.0,22
2024-01-01,S005,P0026,45,31,25.0,0.0,15
2024-01-01,S005,P0027,34,9,13.0,0.0,7
2024-01-01,S005,P0028,45,20,12.0,0.0,13
2024-01-01,S005,P0029,43,38,44.0,0.0,10
2024-01-01,S005,P0030,33,23,31.0,0.0,8
2024-01-01,S005,P0031,55,12,,0.0,13
2024-01-01,S005,P0032,77,37,67.0,0.0,20
2024-01-01,S005,P0033,66,69,78.0,0.0,20
2024-01-01,S005,P0034,122,92,90.0,0.0,29
2024-01-01,S005,P0035,35,22,15.0,0.0,10
2024-01-01,S005,P0036,76,32,74.0,0.0,16
2024-01-01,S005,P0037,80,63,51.0,0.0,30
2024-01-01,S005,P0038,51,46,73.0,0.0,14
2024-01-01,S005,P0039,79,77,71.0,0.0,20
2024-01-01,S005,P0040,92,21,76.0,0.0,20
2024-01-01,S005,P0041,91,70,44.0,0.0,31
2024-01-01,S005,P0042,55,17,4.0,1.0,16
2024-01-01,S005,P0043,101,71,135.0,0.0,25
2024-01-01,S005,P0044,126,88,84.0,0.0,29
2024-01-01,S005,P0045,63,20,52.0,0.0,14
2024-01-01,S005,P0046,122,38,101.0,0.0,27
2024-01-01,S005,P0047,71,18,53.0,0.0,20
2024-01-01,S005,P0048,127,33,79.0,0.0,28
2024-01-01,S005,P0049,81,40,45.0,0.0,21
2024-01-01,S005,P0050,46,34,27.0,0.0,16
2024-01-01,S005,P0051,49,50,73.0,0.0,16
2024-01-01,S005,P0052,21,17,22.0,0.0,5
2024-01-01,S005,P0053,16,17,24.0,0.0,5
2024-01-01,S005,P0054,34,12,22.0,0.0,9
2024-01-01,S005,P0055,46,44,65.0,0.0,14
2024-01-01,S005,P0056,28,17,28.0,0.0,6
2024-01-01,S005,P0057,31,25,36.0,0.0,7
2024-01-01,S005,P0058,83,31,85.0,0.0,19
2024-01-01,S005,P0059,66,27,55.0,0.0,13
2024-01-01,S005,P0060,90,85,108.0,0.0,23
2024-01-01,S005,P0061,62,16,16.0,0.0,14
2024-01-01,S005,P0062,29,13,10.0,0.0,11
2024-01-01,S005,P0063,69,38,64.0,0.0,16
2024-01-01,S005,P0064,30,7,26.0,0.0,6
2024-01-01,S005,P0065,19,11,11.0,0.0,6
2024-01-01,S005,P0066,20,10,20.0,0.0,5
2024-01-01,S005,P0067,49,35,41.0,0.0,10
2024-01-01,S005,P0068,14,5,0.0,2.0,5
2024-01-01,S005,P0069,37,16,10.0,0.0,13
2024-01-01,S005,P0070,40,20,24.0,0.0,11
2024-01-01,S005,P0071,43,25,8.0,2.0,15
2024-01-01,S005,P0072,82,44,61.0,0.0,18
2024-01-01,S005,P0073,46,40,30.0,0.0,16
2024-01-01,S005,P0074,17,11,7.0,0.0,6
2024-01-01,S005,P0075,21,21,31.0,0.0,6
2024-01-01,S005,P0076,64,21,42.0,0.0,17
2024-01-01,S005,P0077,84,27,47.0,0.0,17
2024-01-01,S005,P0078,75,77,115.0,0.0,23
2024-01-01,S005,P0079,50,13,24.0,0.0,11
2024-01-01,S005,P0080,26,14,28.0,0.0,6
2024-01-01,S006,P0001,57,53,70.0,0.0,18
2024-01-01,S006,P0002,52,66,84.0,0.0,19
2024-01-01,S006,P0003,21,7,21.0,0.0,5
2024-01-01,S006,P0004,38,21,27.0,0.0,10
2024-01-01,S006,P0005,51,26,30.0,0.0,13
2024-01-01,S006,P0006,96,36,76.0,0.0,19
2024-01-01,S006,P0007,64,72,75.0,0.0,20
2024-01-01,S006,P0008,36,17,16.0,0.0,11
2024-01-01,S006,P0009,34,29,42.0,0.0,9
2024-01-01,S006,P0010,60,26,52.0,0.0,14
2024-01-01,S006,P0011,15,8,10.0,0.0,5
2024-01-01,S006,P0012,34,30,40.0,0.0,8
2024-01-01,S006,P0013,25,15,26.0,0.0,6
2024-01-01,S006,P0014,15,7,6.0,0.0,5
2024-01-01,S006,P0015,59,35,46.0,0.0,16
2024-01-01,S006,P0016,36,41,47.0,0.0,12
2024-01-01,S006,P0017,48,43,45.0,0.0,15
2024-01-01,S006,P0018,102,43,73.0,0.0,21
2024-01-01,S006,P0019,63,14,44.0,0.0,18
2024-01-01,S006,P0020,65,86,57.0,0.0,24
2024-01-01,S006,P0021,51,26,30.0,0.0,13
2024-01-01,S006,P0022,109,73,133.0,0.0,22
2024-01-01,S006,P0023,116,56,104.0,0.0,23
2024-01-01,S006,P0024,78,34,13.0,1.0,27
2024-01-01,S006,P0025,63,20,36.0,0.0,13
2024-01-01,S006,P0026,62,18,29.0,0.0,16
2024-01-01,S006,P0027,119,94,129.0,0.0,26
2024-01-01,S006,P0028,76,61,63.0,0.0,20
2024-01-01,S006,P0029,90,38,83.0,0.0,27
2024-01-01,S006,P0030,48,60,49.0,0.0,16
2024-01-01,S006,P0031,35,33,37.0,0.0,10
2024-01-01,S006,P0032,104,19,25.0,0.0,23
2024-01-01,S006,P0033,69,32,72.0,0.0,15
2024-01-01,S006,P0034,108,69,132.0,0.0,21
2024-01-01,S006,P0035,38,10,13.0,0.0,12
2024-01-01,S006,P0036,74,63,90.0,0.0,25
2024-01-01,S006,P0037,63,45,61.0,0.0,17
2024-01-01,S006,P0038,112,39,56.0,0.0,27
2024-01-01,S006,P0039,106,29,30.0,0.0,33
2024-01-01,S006,P0040,36,11,10.0,0.0,8
2024-01-01,S006,P0041,58,41,53.0,0.0,18
2024-01-01,S006,P0042,34,16,4.0,1.0,10
2024-01-01,S006,P0043,82,27,68.0,0.0,16
2024-01-01,S006,P0044,134,84,171.0,0.0,32
2024-01-01,S006,P0045,72,59,85.0,0.0,18
2024-01-01,S006,P0046,83,29,72.0,0.0,18
2024-01-01,S006,P0047,45,12,38.0,0.0,13
2024-01-01,S006,P0048,155,59,94.0,0.0,33
2024-01-01,S006,P0049,17,20,27.0,0.0,6
2024-01-01,S006,P0050,89,25,25.0,0.0,20
2024-01-01,S006,P0051,66,68,88.0,0.0,19
2024-01-01,S006,P0052,38,15,22.0,0.0,9
2024-01-01,S006,P0053,103,23,41.0,0.0,23
2024-01-01,S006,P0054,70,21,43.0,0.0,15
2024-01-01,S006,P0055,64,14,56.0,0.0,15
2024-01-01,S006,P0056,80,37,83.0,0.0,16
2024-01-01,S006,P0057,85,20,46.0,,21
2024-01-01,S006,P0058,56,17,0.0,3.0,19
2024-01-01,S006,P0059,67,21,52.0,0.0,16
2024-01-01,S006,P0060,40,12,19.0,0.0,8
2024-01-01,S006,P0061,24,9,17.0,0.0,8
2024-01-01,S006,P0062,61,27,43.0,0.0,14
2024-01-01,S006,P0063,22,17,30.0,0.0,5
2024-01-01,S006,P0064,57,36,37.0,0.0,17
2024-01-01,S006,P0065,76,56,72.0,0.0,20
2024-01-01,S006,P0066,20,8,17.0,0.0,7
2024-01-01,S006,P0067,50,21,12.0,0.0,14
2024-01-01,S006,P0068,46,56,35.0,0.0,16
2024-01-01,S006,P0069,64,48,82.0,0.0,15
2024-01-01,S006,P0070,64,37,24.0,0.0,21
2024-01-01,S006,P0071,44,40,16.0,0.0,16
2024-01-01,S006,P0072,15,7,13.0,0.0,4
2024-01-01,S006,P0073,55,46,66.0,0.0,13
2024-01-01,S006,P0074,27,18,14.0,0.0,7
2024-01-01,S006,P0075,69,22,0.0,5.0,23
2024-01-01,S006,P0076,43,47,46.0,0.0,12
2024-01-01,S006,P0077,58,44,57.0,0.0,17
2024-01-01,S006,P0078,66,60,62.0,0.0,16
2024-01-01,S006,P0079,14,12,19.0,0.0,4
2024-01-01,S006,P0080,60,24,48.0,0.0,13
2024-01-01,S007,P0001,37,31,42.0,0.0,11
2024-01-01,S007,P0002,94,61,106.0,0.0,21
2024-01-01,S007,P0003,49,43,66.0,0.0,12
2024-01-01,S007,P0004,21,9,8.0,0.0,5
2024-01-01,S007,P0005,31,24,34.0,0.0,7
2024-01-01,S007,P0006,26,22,21.0,0.0,6
2024-01-01,S007,P0007,40,33,50.0,0.0,11
2024-01-01,S007,P0008,33,26,35.0,0.0,8
2024-01-01,S007,P0009,55,18,38.0,0.0,13
2024-01-01,S007,P0010,65,21,18.0,0.0,19
2024-01-01,S007,P0011,75,50,46.0,0.0,20
2024-01-01,S007,P0012,88,18,21.0,0.0,21
2024-01-01,S007,P0013,71,29,56.0,0.0,16
2024-01-01,S007,P0014,60,21,55.0,0.0,17
2024-01-01,S007,P0015,74,57,63.0,0.0,17
2024-01-01,S007,P0016,58,52,42.0,0.0,16
2024-01-01,S007,P0017,58,41,53.0,0.0,16
