order_id,customer_id,store_id,order_date,sales_channel,payment_method,order_status,campaign_id,promised_shipping_days,actual_shipping_days
O000046,C00305,S010,2024-05-20,Online,Debit Card,Returned,M0011,3,3.0
O000047,C00793,S001,2024-05-15,Online,PayPal,Completed,,3,4.0
O000048,C01132,S009,2024-08-21,In-Store,Credit Card,Completed,M0018,0,0.0
O000049,C00096,S003,2025-06-27,Online,Credit Card,Completed,,5,5.0
O000050,C01090,S009,2024-01-01,Mobile App,Credit Card,Completed,,3,3.0
O000051,C00521,S010,2024-05-05,Online,Debit Card,Completed,M0009,2,3.0
O000052,C00230,S001,2024-04-30,In-Store,Debit Card,Cancelled,,0,
O000053,C00733,S008,2025-01-14,In-Store,Credit Card,Completed,,0,0.0
O000054,C00358,S006,2024-07-24,Online,Credit Card,Completed,M0016,4,7.0
O000055,C00402,S009,2024-09-16,Online,Credit Card,Completed,,5,7.0
O000056,C00790,S004,2024-04-07,Mobile App,Credit Card,Cancelled,M0008,2,
O000057,C00099,S005,2024-08-19,In-Store,Credit Card,Completed,,0,0.0
O000058,C00271,S006,2024-03-12,Online,Credit Card,Completed,,4,6.0
O000059,C01799,S009,2024-10-30,Online,PayPal,Returned,M0020,4,4.0
O000060,C00362,S006,2024-03-09,Mobile App,Credit Card,Completed,,2,2.0
O000061,C01188,S009,2025-03-06,Online,Credit Card,Completed,M0030,4,6.0
O000062,C00528,S002,2024-11-12,Online,Credit Card,Completed,M0023,4,4.0
O000063,C01193,S004,2025-01-19,Mobile App,Debit Card,Completed,,3,3.0
O000064,C01045,S003,2024-08-25,Online,Credit Card,Cancelled,,2,
O000065,C00540,S004,2024-08-07,Online,PayPal,Completed,,3,6.0
O000066,C00595,S001,2024-03-09,In-Store,Credit Card,Completed,M0005,0,0.0
O000067,C00833,S002,2024-10-25,Mobile App,Debit Card,Completed,,3,3.0
O000068,C00397,S004,2024-10-19,Online,Debit Card,Completed,,2,3.0
O000069,C01060,S010,2024-09-22,Mobile App,Credit Card,Completed,,2,2.0
O000070,C00495,S004,2025-01-31,Mobile App,Gift Card,Completed,,4,4.0
O000071,C00314,S005,2025-03-31,Online,Credit Card,Completed,,2,2.0
O000072,C00490,S009,2025-02-07,Online,Credit Card,Completed,,3,4.0
O000073,C01300,S001,2024-04-04,Mobile App,Credit Card,Completed,,4,4.0
O000074,C00233,S008,2024-12-03,Online,PayPal,Completed,,4,4.0
O000075,C01640,S003,2024-02-27,Online,Credit Card,Completed,,4,6.0
O000076,C01460,S009,2024-12-30,In-Store,Credit Card,Completed,M0025,0,0.0
O000077,C01030,S008,2024-08-08,In-Store,Credit Card,Completed,,0,0.0
O000078,C01559,S008,2024-03-29,In-Store,Credit Card,Completed,,0,0.0
O000079,C01706,S009,2025-04-17,In-Store,Debit Card,Completed,M0031,0,0.0
O000080,C00664,S004,2024-11-30,Online,Credit Card,Completed,,3,3.0
O000081,C00244,S005,2024-07-25,In-Store,Credit Card,Completed,M0016,0,0.0
O000082,C00241,S007,2024-01-22,Online,Credit Card,Completed,M0001,3,4.0
O000083,C01797,S002,2024-11-01,Online,PayPal,Completed,,4,4.0
O000084,C00558,S007,2025-05-23,Online,PayPal,Completed,M0033,3,4.0
O000085,C01297,S003,2024-11-23,In-Store,Credit Card,Completed,M0023,0,0.0
O000086,C00075,S006,2025-06-17,Online,PayPal,Completed,M0034,4,4.0
O000087,C00283,S006,2024-03-31,In-Store,Credit Card,Completed,M0007,0,0.0
O000088,C01732,S006,2024-11-13,In-Store,Credit Card,Completed,M0023,0,0.0
O000089,C01559,S010,2025-03-11,Online,Credit Card,Returned,,3,4.0
O000090,C00087,S002,2024-10-26,Online,Debit Card,Completed,M0021,3,3.0
O000091,C00881,S009,2024-03-04,Online,Credit Card,Completed,M0004,2,3.0
O000092,C01657,S008,2024-11-18,Mobile App,Credit Card,Completed,,3,3.0
O000093,C00930,S007,2024-11-29,In-Store,PayPal,Completed,M0023,0,0.0
O000094,C01173,S009,2025-01-23,Online,PayPal,Completed,,4,4.0
O000095,C01174,S004,2025-02-15,Mobile App,Credit Card,Completed,,3,5.0
O000096,C01601,S002,2025-02-22,Online,Debit Card,Completed,M0028,2,5.0
O000097,C00160,S004,2024-12-19,In-Store,Credit Card,Completed,M0024,0,0.0
O000098,C00446,S010,2024-05-16,In-Store,Credit Card,Completed,,0,0.0
O000099,C00082,S003,2024-08-18,Online,Credit Card,Returned,M0018,2,4.0
O000100,C01031,S002,2025-02-25,Online,Credit Card,Completed,M0028,4,5.0
O000101,C00182,S002,2025-06-08,In-Store,Credit Card,Completed,,0,0.0
O000102,C00870,S008,2024-02-26,Online,Credit Card,Completed,,3,5.0
O000103,C00966,S005,2024-11-01,Online,Credit Card,Completed,,4,6.0
O000104,C01550,S006,2024-07-05,In-Store,Credit Card,Completed,,0,0.0
O000105,C00478,S008,2024-05-22,Online,Credit Card,Completed,,3,6.0
O000106,C00183,S007,2024-10-14,Mobile App,Credit Card,Cancelled,M0022,4,
O000107,C01338,S007,2024-11-27,Online,PayPal,Completed,,3,3.0
O000108,C01580,S007,2024-01-07,Online,Credit Card,Completed,M0001,3,3.0
O000109,C00174,S007,2025-02-28,In-Store,Debit Card,Completed,,0,0.0
O000110,C00014,S008,2025-03-23,Mobile App,Credit Card,Completed,M0030,3,3.0
O000111,C01324,S001,2025-06-14,In-Store,Credit Card,Completed,,0,0.0
O000112,C00073,S003,2024-04-26,Online,Credit Card,Completed,,4,5.0
O000113,C01759,S001,2024-11-23,Mobile App,PayPal,Completed,M0023,2,2.0
O000114,C00514,S008,2024-08-29,Online,Credit Card,Returned,,5,5.0
O000115,C01746,S002,2024-07-16,Online,PayPal,Completed,M0017,5,5.0
O000116,C01797,S007,2024-11-12,Mobile App,Debit Card,Completed,,3,3.0
O000117,C00602,S006,2025-03-02,Online,Gift Card,Cancelled,,2,
O000118,C00343,S001,2024-01-17,In-Store,PayPal,Completed,,0,0.0
O000119,C01420,S006,2025-06-16,Mobile App,PayPal,Completed,,3,4.0
O000120,C01788,S009,2025-03-18,Online,Credit Card,Completed,,3,4.0
O000121,C00333,S003,2025-02-08,In-Store,Credit Card,Returned,,0,0.0
O000122,C00355,S007,2025-02-14,Online,Credit Card,Completed,M0029,3,3.0
O000123,C01583,S004,2024-08-11,Mobile App,Debit Card,Completed,,3,3.0
O000124,C00847,S001,2025-02-08,In-Store,Debit Card,Completed,,0,0.0
O000125,C00163,S007,2024-08-10,online,Credit Card,Completed,M0018,5,7.0
O000126,C00116,S001,2025-05-08,Online,Debit Card,Completed,,2,3.0
O000127,C01427,S004,2024-04-24,In-Store,Credit Card,Completed,M0009,0,0.0
O000128,C01103,S009,2024-06-25,In-Store,Credit Card,Completed,,0,0.0
O000129,C01471,S005,2024-11-06,Online,Credit Card,Completed,,5,7.0
O000130,C01032,S007,2024-07-08,Online,PayPal,Completed,M0017,3,6.0
O000131,C01047,S007,2024-08-28,In-Store,Debit Card,Completed,,0,0.0
O000132,C00791,S003,2024-10-06,Online,Gift Card,Cancelled,M0022,4,
O000133,C00543,S008,2025-04-14,In-Store,Gift Card,Completed,,0,0.0
O000134,C00414,S001,2024-10-24,Online,Credit Card,Completed,M0020,3,4.0
O000135,C00682,S004,2024-07-29,In-Store,Credit Card,Completed,M0017,0,0.0
O000136,C00642,S010,2024-06-03,Online,Credit Card,Cancelled,,3,
O000137,C01433,S004,2024-08-21,In-Store,PayPal,Completed,,0,0.0
O000138,C00669,S002,2024-10-20,Mobile App,Credit Card,Completed,,3,4.0
O000139,C00022,S006,2025-02-04,In-Store,Credit Card,Completed,,0,0.0
O000140,C01662,S001,2024-03-22,In-Store,Credit Card,Completed,,0,0.0
O000141,C01427,S003,2024-05-20,In-Store,Credit Card,Completed,M0011,0,0.0
O000142,C00969,S009,2024-08-06,In-Store,Credit Card,Completed,,0,0.0
O000143,C01705,S010,2024-07-28,Online,Credit Card,Completed,M0016,2,2.0
O000144,C01702,S006,2024-08-12,Mobile App,Debit Card,Completed,,3,3.0
O000145,C01181,S002,2025-03-08,In-Store,Credit Card,Completed,M0030,0,0.0
O000146,C00330,S009,2024-07-11,Online,PayPal,Completed,M0017,2,4.0
O000147,C01046,S002,2024-10-12,Online,Debit Card,Completed,M0020,4,4.0
O000148,C01496,S007,2024-12-04,Online,PayPal,Completed,,4,4.0
O000149,C01288,S001,2024-05-26,Online,Credit Card,Completed,,2,3.0
O000150,C01327,S005,2025-01-15,Mobile App,Credit Card,Completed,,3,4.0
O000151,C00902,S007,2024-11-05,In-Store,Credit Card,Returned,,0,0.0
O000152,C01799,S003,2024-09-10,Online,PayPal,Completed,M0019,2,2.0
O000153,C00724,S004,2025-03-17,Online,Credit Card,Completed,,3,4.0
O000154,C01489,S005,2024-06-01,Online,PayPal,Completed,,3,3.0
O000155,C01188,S003,2025-04-29,Online,PayPal,Completed,,2,3.0
O000156,C01160,S006,2024-11-10,Online,Credit Card,Cancelled,,2,
O000157,C00252,S003,2024-11-28,Mobile App,Credit Card,Completed,,4,6.0
O000158,C00205,S008,2025-04-25,Online,Debit Card,Completed,,3,4.0
O000159,C01326,S007,2025-03-22,Online,Debit Card,Completed,,5,7.0
O000160,C01266,S001,2024-11-25,Online,Debit Card,Completed,M0023,2,5.0
O000161,C00832,S002,2025-02-09,Mobile App,Credit Card,Completed,,2,5.0
O000162,C00791,S004,2024-09-02,In-Store,Debit Card,Completed,,0,0.0
O000163,C01085,S005,2024-11-05,Online,Credit Card,Completed,,3,3.0
O000164,C00465,S010,2024-02-14,Online,Credit Card,Completed,,2,2.0
O000165,C01326,S004,2024-03-04,Mobile App,Credit Card,Completed,M0005,3,4.0
O000166,C01496,S004,2025-03-29,Online,PayPal,Completed,,3,3.0
O000167,C00394,S009,2024-02-12,In-Store,Credit Card,Completed,,0,0.0
O000168,C01631,S004,2024-04-19,Online,Credit Card,Completed,M0009,2,2.0
O000169,C01021,S004,2025-03-09,In-Store,Credit Card,Completed,,0,0.0
O000170,C00660,S004,2024-01-01,Online,PayPal,Completed,,3,7.0
O000171,C00912,S002,2024-06-20,Mobile App,Credit Card,Completed,,4,6.0
O000172,C01283,S008,2024-11-19,In-Store,Credit Card,Completed,M0023,0,0.0
O000173,C01566,S004,2024-11-23,Online,Gift Card,Completed,,2,2.0
O000174,C00530,S005,2025-02-26,Online,Credit Card,Completed,M0028,4,5.0
O000175,C01211,S008,2024-10-14,Online,Debit Card,Completed,,2,3.0
O000176,C01236,S004,2024-10-16,Mobile App,Credit Card,Completed,,2,3.0
O000177,C01059,S005,2025-01-20,Online,Credit Card,Completed,,3,3.0
O000178,C01171,S005,2024-10-10,Online,Credit Card,Completed,M0020,5,5.0
O000179,C01306,S006,2024-11-28,Online,PayPal,Completed,M0023,3,3.0
O000180,C01571,S007,2025-05-08,In-Store,Credit Card,Completed,,0,0.0
O000181,C01612,S003,2024-08-17,Online,Credit Card,Completed,M0018,3,3.0
O000182,C01608,S010,2024-08-09,In-Store,PayPal,Completed,,0,0.0
O000183,C01273,S003,2024-01-03,Mobile App,PayPal,Completed,,3,3.0
O000184,C00057,S009,2024-11-30,In-Store,Credit Card,Completed,,0,0.0
O000185,C01329,S001,2024-01-22,Online,Credit Card,Completed,M0001,4,7.0
O000186,C00522,S010,2024-10-13,Online,Credit Card,Completed,,2,2.0
O000187,C01749,S008,2025-03-14,Online,Debit Card,Completed,,4,4.0
O000188,C00361,S010,2024-11-06,Online,Credit Card,Completed,,4,4.0
O000189,C01261,S003,2024-06-14,Online,Debit Card,Completed,,4,4.0
O000190,C00234,S005,2025-03-04,In-Store,Credit Card,Completed,,0,0.0
O000191,C00223,S003,2024-06-14,In-Store,Credit Card,Completed,M0013,0,0.0
O000192,C01640,S010,2025-01-26,Online,Debit Card,Completed,,3,3.0
O000193,C00327,S001,2024-11-29,In-Store,Debit Card,Completed,M0023,0,0.0
O000194,C01122,S010,2024-04-20,Online,Debit Card,Completed,M0009,4,8.0
O000195,C01250,S005,2025-05-12,Mobile App,Debit Card,Completed,,2,2.0
O000196,C01758,S008,2024-05-07,Online,Credit Card,Cancelled,,3,
O000197,C00836,S005,2025-06-26,Online,Debit Card,Completed,,3,3.0
O000198,C00489,S004,2024-01-06,Online,PayPal,Completed,M0001,3,3.0
O000199,C00478,S009,2024-06-11,In-Store,Credit Card,Completed,M0013,0,0.0
O000200,C00985,S001,2024-05-07,Online,Credit Card,Completed,M0009,2,2.0
O000201,C01358,S005,2024-01-11,Online,Debit Card,Completed,M0001,4,6.0
O000202,C00792,S001,2025-01-25,Online,Credit Card,Completed,,3,3.0
O000203,C01579,S006,2024-12-30,Online,Credit Card,Completed,M0025,3,3.0
O000204,C00512,S010,2025-03-07,Mobile App,PayPal,Completed,,4,5.0
O000205,C01013,S009,2024-06-08,Online,Credit Card,Completed,M0014,2,2.0
O000206,C00382,S002,2024-09-08,In-Store,PayPal,Completed,M0019,0,0.0
O000207,C01447,S004,2024-12-17,In-Store,Credit Card,Completed,,0,0.0
O000208,C01372,S008,2024-09-06,Online,Credit Card,Completed,,4,4.0
O000209,C01177,S003,2024-12-31,Mobile App,PayPal,Completed,,3,4.0
O000210,C00452,S007,2024-12-08,Online,Credit Card,Completed,M0026,3,5.0
O000211,C01314,S007,2024-03-18,Online,PayPal,Completed,M0005,4,4.0
O000212,C01760,S002,2025-03-01,Online,Credit Card,Completed,,3,3.0
O000213,C01143,S010,2025-01-17,In-Store,Gift Card,Completed,,0,0.0
O000214,C00214,S004,2024-12-16,Mobile App,PayPal,Completed,M0025,3,3.0
O000215,C00565,S001,2024-04-11,In-Store,Credit Card,Completed,M0008,0,0.0
O000216,C00732,S008,2024-06-13,Mobile App,Debit Card,Completed,M0013,2,2.0
O000217,C00439,S010,2024-08-13,Mobile App,Credit Card,Completed,M0018,2,3.0
O000218,C00755,S010,2024-06-19,Online,PayPal,Completed,,4,6.0
O000219,C01589,S009,2024-05-23,Online,Credit Card,Completed,M0012,3,4.0
O000220,C00629,S001,2025-03-15,Online,Gift Card,Completed,,3,4.0
O000221,C00903,S007,2024-12-09,In-Store,Credit Card,Completed,,0,0.0
O000222,C01471,S001,2024-11-12,Online,Debit Card,Completed,,2,2.0
O000223,C01066,S001,2024-05-22,In-Store,Credit Card,Completed,M0010,0,0.0
O000224,C00395,S009,2025-05-20,Mobile App,Credit Card,Completed,M0032,3,3.0
O000225,C00247,S010,2024-05-02,In-Store,Credit Card,Completed,M0009,0,0.0
O000226,C00905,S010,2025-03-09,In-Store,Credit Card,Completed,,0,0.0
O000227,C01315,S006,2025-06-14,Mobile App,Credit Card,Completed,,3,5.0
O000228,C00248,S001,2025-01-21,In-Store,Credit Card,Completed,,0,0.0
O000229,C01637,S007,2025-06-27,In-Store,Gift Card,Completed,,0,0.0
O000230,C00599,S003,2024-12-14,In-Store,Credit Card,Completed,M0026,0,0.0
O000231,C00865,S010,2024-05-17,Online,Credit Card,Completed,M0010,2,2.0
O000232,C01473,S004,2024-05-09,Online,PayPal,Completed,,2,2.0
O000233,C00084,S004,2024-07-11,In-Store,Credit Card,Completed,,0,0.0
O000234,C00773,S008,2024-01-06,Online,Credit Card,Cancelled,,2,
O000235,C01245,S001,2024-12-26,In-Store,Debit Card,Completed,M0025,0,0.0
O000236,C01690,S008,2024-06-14,Online,Credit Card,Completed,M0014,4,5.0
O000237,C00051,S009,2025-03-21,online,Credit Card,Completed,,0,0.0
O000238,C00550,S007,2024-07-28,In-Store,Credit Card,Completed,,0,0.0
O000239,C00771,S001,2024-09-29,Mobile App,Credit Card,Completed,,3,6.0
O000240,C00981,S007,2025-06-14,Online,Debit Card,Completed,M0035,4,4.0
O000241,C01211,S006,2024-06-01,Online,Credit Card,Completed,,4,5.0
O000242,C01549,S005,2025-01-17,In-Store,Debit Card,Completed,,0,0.0
O000243,C01247,S005,2025-02-10,In-Store,Debit Card,Completed,M0028,0,0.0
O000244,C00465,S001,2024-05-19,In-Store,Credit Card,Completed,,0,0.0
O000245,C00419,S006,2024-10-11,Mobile App,Credit Card,Completed,,3,4.0
O000246,C00087,S004,2024-07-23,Online,Credit Card,Completed,M0016,4,5.0
O000247,C00259,S001,2025-02-22,Online,Debit Card,Completed,,3,3.0
O000248,C01205,S008,2024-12-03,Online,PayPal,Completed,M0023,3,3.0
O000249,C00311,S008,2024-09-27,Mobile App,Credit Card,Completed,,4,5.0
O000250,C00173,S004,2025-02-28,Online,Gift Card,Completed,M0029,4,5.0
O000251,C01346,S007,2024-05-28,Online,Credit Card,Completed,,4,4.0
O000252,C01731,S003,2025-02-09,Online,PayPal,Completed,,2,2.0
O000253,C01364,S008,2025-04-19,In-Store,PayPal,Completed,,0,0.0
O000254,C01520,S007,2025-04-27,In-Store,Credit Card,Completed,,0,0.0
O000255,C01269,S005,2025-03-02,Online,Credit Card,Completed,,3,3.0
O000256,C00940,S005,2024-08-20,Online,Credit Card,Cancelled,M0018,2,
O000257,C00505,S009,2025-06-22,Online,Credit Card,Completed,M0034,5,5.0
O000258,C00329,S006,2024-08-06,In-Store,Credit Card,Completed,,0,0.0
O000259,C00196,S006,2024-12-09,Online,Credit Card,Completed,M0025,2,2.0
O000260,C00062,S002,2024-04-14,Online,Debit Card,Completed,,2,2.0
O000261,C01049,S005,2025-06-21,In-Store,Credit Card,Completed,,0,0.0
O000262,C01588,S004,2025-01-05,Mobile App,Credit Card,Completed,,3,4.0
O000263,C00562,S010,2025-02-09,Online,PayPal,Completed,M0028,5,5.0
O000264,C01402,S003,2024-02-16,Online,Credit Card,Completed,,3,3.0
O000265,C00897,S009,2025-02-16,Online,PayPal,Completed,,3,5.0
O000266,C01319,S007,2025-02-24,Online,Credit Card,Completed,M0029,4,8.0
O000267,C01076,S004,2024-12-22,In-Store,Credit Card,Completed,,0,0.0
O000268,C00844,S009,2024-06-25,Online,Credit Card,Completed,,3,3.0
O000269,C00040,S009,2024-10-05,Mobile App,Credit Card,Completed,,2,2.0
O000270,C01768,S007,2024-03-16,In-Store,Credit Card,Completed,M0005,0,0.0
O000271,C01596,S005,2024-09-24,Online,Credit Card,Completed,,4,4.0
O000272,C00728,S009,2024-06-01,In-Store,Credit Card,Completed,M0011,0,0.0
O000273,C00457,S007,2024-07-23,Online,Credit Card,Completed,,3,3.0
O000274,C00878,S009,2024-04-15,In-Store,Credit Card,Completed,M0009,0,0.0
O000275,C01733,S003,2024-05-25,Mobile App,Debit Card,Completed,,3,4.0
O000276,C00788,S009,2024-02-24,In-Store,Debit Card,Completed,M0004,0,0.0
O000277,C00002,S001,2025-05-21,Mobile App,Gift Card,Completed,M0033,4,4.0
O000278,C01493,S005,2024-10-28,In-Store,Credit Card,Completed,,0,0.0
O000279,C01130,S002,2024-08-15,Online,PayPal,Completed,,5,5.0
O000280,C00216,S001,2024-10-31,online,Credit Card,Completed,,2,2.0
O000281,C00777,S003,2024-12-05,Online,Credit Card,Completed,,3,3.0
O000282,C00679,S007,2025-05-22,Mobile App,Debit Card,Completed,M0033,4,4.0
O000283,C01783,S003,2024-04-25,Mobile App,Credit Card,Completed,,4,5.0
O000284,C00414,S010,2024-06-27,Mobile App,Credit Card,Cancelled,,4,
O000285,C00210,S010,2025-06-19,Online,Credit Card,Completed,,3,3.0
O000286,C01082,S009,2024-08-02,Mobile App,Debit Card,Completed,,3,4.0
O000287,C00043,S003,2024-01-17,In-Store,Credit Card,Completed,,0,0.0
O000288,C00138,S006,2024-04-07,In-Store,Credit Card,Completed,M0008,0,0.0
O000289,C01645,S002,2024-01-19,In-Store,Gift Card,Completed,M0001,0,0.0
O000290,C01513,S008,2025-06-26,Online,Credit Card,Completed,M0035,3,4.0
O000291,C01584,S010,2024-06-18,Online,Credit Card,Completed,M0013,4,4.0
O000292,C00638,S005,2025-05-23,In-Store,Credit Card,Completed,M0033,0,0.0
O000293,C00469,S002,2025-06-29,Online,Credit Card,Completed,M0035,4,4.0
O000294,C00726,S007,2024-11-25,In-Store,Credit Card,Completed,M0023,0,0.0
O000295,C01664,S003,2024-01-24,Online,Gift Card,Completed,,4,4.0
O000296,C01413,S005,2024-02-28,In-Store,Credit Card,Completed,,0,0.0
O000297,C01222,S009,2024-09-30,Online,Debit Card,Completed,,2,3.0
O000298,C00202,S001,2024-08-19,Online,Credit Card,Completed,M0018,3,4.0
O000299,C00192,S002,2024-11-27,In-Store,Credit Card,Completed,M0023,0,0.0
O000300,C00107,S005,2024-09-05,In-Store,Credit Card,Cancelled,M0019,0,
O000301,C01730,S004,2025-05-29,Online,Credit Card,Completed,M0032,4,6.0
O000302,C00327,S001,2024-10-31,In-Store,Credit Card,Cancelled,,0,
O000303,C00750,S007,2024-12-30,In-Store,Credit Card,Completed,,0,0.0
O000304,C00644,S009,2025-05-07,Mobile App,Debit Card,Completed,,3,4.0
O000305,C00357,S001,2024-04-06,Online,Debit Card,Completed,,3,5.0
O000306,C00595,S008,2024-05-25,Online,Debit Card,Completed,,4,4.0
O000307,C00501,S009,2024-03-14,Online,Credit Card,Completed,,3,4.0
O000308,C01308,S002,2024-04-02,Online,Credit Card,Completed,M0005,5,5.0
O000309,C00468,S001,2024-10-18,Mobile App,PayPal,Returned,,4,4.0
O000310,C00508,S006,2024-07-09,Mobile App,Credit Card,Completed,,4,5.0
O000311,C01758,S007,2024-08-28,Mobile App,Credit Card,Returned,,4,4.0
O000312,C00106,S002,2025-06-22,Online,Credit Card,Completed,,3,5.0
O000313,C01318,S005,2024-04-12,Online,Credit Card,Completed,M0008,4,5.0
O000314,C01090,S005,2024-11-02,In-Store,Credit Card,Completed,M0021,0,0.0
O000315,C00195,S007,2024-03-09,In-Store,Credit Card,Completed,M0005,0,0.0
O000316,C01212,S001,2024-07-08,Mobile App,Debit Card,Completed,M0017,2,3.0
O000317,C00047,S010,2024-10-27,Online,Credit Card,Cancelled,M0021,4,
O000318,C01386,S008,2025-06-05,Online,Credit Card,Completed,,3,3.0
O000319,C01009,S005,2024-08-12,Mobile App,PayPal,Completed,M0018,3,3.0
O000320,C00537,S003,2024-02-16,Mobile App,Credit Card,Completed,M0004,5,5.0
O000321,C01602,S009,2024-08-11,Mobile App,Debit Card,Completed,M0018,3,4.0
O000322,C01511,S003,2024-04-05,Online,Credit Card,Completed,M0008,3,3.0
O000323,C00847,S007,2024-05-25,Mobile App,Gift Card,Completed,,3,3.0
O000324,C01603,S010,2024-12-01,Online,Debit Card,Completed,M0023,2,2.0
O000325,C00709,S007,2024-02-18,Online,Credit Card,Completed,M0004,2,2.0
O000326,C01270,S010,2024-09-20,In-Store,PayPal,Completed,,0,0.0
O000327,C00808,S008,2024-11-28,Mobile App,Debit Card,Completed,,5,5.0
O000328,C00612,S010,2024-08-27,Online,Credit Card,Completed,,4,4.0
O000329,C01202,S008,2024-01-14,In-Store,Gift Card,Completed,M0001,0,0.0
O000330,C00115,S004,2025-06-23,In-Store,Credit Card,Completed,M0034,0,0.0
O000331,C00680,S001,2024-07-31,In-Store,Credit Card,Completed,M0017,0,0.0
O000332,C00631,S004,2025-02-27,Online,PayPal,Completed,M0029,3,7.0
O000333,C01189,S006,2024-07-11,Online,Debit Card,Completed,M0017,5,6.0
O000334,C00219,S010,2024-09-26,Mobile App,Credit Card,Completed,,5,8.0
O000335,C00197,S006,2024-08-11,In-Store,Credit Card,Completed,M0018,0,0.0
O000336,C00401,S006,2024-07-20,In-Store,Credit Card,Completed,,0,0.0
O000337,C00749,S007,2024-01-16,Online,Credit Card,Completed,,3,5.0
O000338,C00681,S001,2024-07-28,Online,Credit Card,Completed,,3,3.0
O000339,C00076,S010,2025-05-03,Online,Credit Card,Completed,,4,7.0
O000340,C01450,S001,2024-12-29,Online,Debit Card,Completed,,4,4.0
O000341,C00287,S007,2024-04-05,Online,Credit Card,Completed,M0008,4,5.0
O000342,C01569,S004,2024-11-21,Online,Credit Card,Completed,M0023,4,5.0
O000343,C01323,S006,2025-05-05,In-Store,Credit Card,Completed,,0,0.0
O000344,C00861,S006,2025-01-02,Mobile App,Gift Card,Completed,,4,7.0
O000345,C00742,S009,2024-04-07,Mobile App,Credit Card,Completed,M0008,2,5.0
